1,34
2,35
3,43
4,9
5,37
6,6
7,18
8,18
9,34
10,16
11,21
12,2
13,45
14,44
15,18
16,10
17,40
18,22
19,17
20,18
21,28
22,10
23,49
24,29
25,12
26,10
27,46
28,29
29,49
30,43
31,13
32,28
33,10
34,24
35,9
36,11
37,26
38,23
39,8
40,17
41,23
42,14
43,33
44,8
45,33
46,8
47,20
48,15
49,34
50,30
51,28
52,20
53,46
54,10
55,43
56,34
57,16
58,34
59,0
60,46
61,23
62,39
63,22
64,45
65,50
66,32
67,37
68,32
69,6
70,30
71,24
72,25
73,42
74,19
75,0
76,2
77,1
78,31
79,13
80,42
81,11
82,26
83,34
84,14
85,39
86,41
87,50
88,43
89,21
90,47
91,44
92,0
93,26
94,43
95,45
96,13
97,13
98,50
99,6
100,42
101,6
102,47
103,17
104,34
105,50
106,25
107,37
108,4
109,17
110,23
111,32
112,7
113,25
114,25
115,34
116,9
117,9
118,36
119,14
120,46
121,8
122,36
123,2
124,32
125,31
126,0
127,31
128,28
129,18
130,47
131,40
132,4
133,36
134,34
135,29
136,49
137,12
138,4
139,20
140,36
141,10
142,21
143,28
144,35
145,11
146,34
147,23
148,8
149,23
150,15
151,26
152,33
153,8
154,18
155,11
156,10
157,14
158,33
159,43
160,25
161,11
162,34
163,28
164,35
165,38
166,48
167,23
168,0
169,9
170,4
171,47
172,20
173,8
174,2
175,44
176,25
177,46
178,28
179,28
180,49
181,12
182,1
183,27
184,26
185,14
186,11
187,41
188,0
189,8
190,1
191,27
192,13
193,19
194,38
195,7
196,46
197,27
198,45
199,16
200,42
201,39
202,47
203,46
204,26
205,43
206,33
207,27
208,47
209,6
210,18
211,13
212,48
213,17
214,50
215,1
216,17
217,23
218,34
219,35
220,11
221,16
222,29
223,33
224,5
225,33
226,26
227,33
228,28
229,44
230,4
231,24
232,22
233,4
234,34
235,17
236,20
237,18
238,35
239,36
240,46
241,0
242,10
243,34
244,50
245,33
246,33
247,10
248,22
249,23
250,41
251,27
252,48
253,48
254,22
255,11
256,2
257,34
258,3
259,37
260,50
261,6
262,25
263,17
264,9
265,44
266,16
267,16
268,34
269,10
270,28
271,16
272,41
273,46
274,1
275,9
276,43
277,18
278,0
279,0
280,13
281,49
282,39
283,26
284,16
285,42
286,2
287,5
288,39
289,17
290,49
291,14
292,49
293,11
294,17
295,5
296,23
297,10
298,4
299,42
300,33
301,39
302,28
303,24
304,13
305,26
306,37
307,8
308,19
309,11
310,10
311,0
312,17
313,19
314,41
315,43
316,15
317,25
318,33
319,46
320,37
321,21
322,15
323,14
324,2
325,19
326,33
327,34
328,41
329,18
330,40
331,36
332,50
333,6
334,7
335,35
336,28
337,40
338,24
339,19
340,23
341,37
342,10
343,46
344,16
345,42
346,45
347,13
348,18
349,11
350,39
351,18
352,21
353,41
354,9
355,15
356,28
357,37
358,26
359,6
360,49
361,2
362,8
363,44
364,43
365,9
366,34
367,8
368,42
369,11
370,15
371,8
372,26
373,7
374,17
375,13
376,33
377,41
378,12
379,24
380,43
381,34
382,7
383,8
384,8
385,10
386,45
387,9
388,36
389,14
390,27
391,21
392,25
393,47
394,50
395,38
396,0
397,7
398,49
399,45
400,44
401,45
402,27
403,16
404,39
405,6
406,13
407,4
408,0
409,16
410,41
411,11
412,6
413,28
414,23
415,19
416,44
417,0
418,36
419,1
420,19
421,12
422,31
423,3
424,26
425,43
426,2
427,6
428,22
429,42
430,28
431,20
432,26
433,23
434,0
435,34
436,7
437,13
438,36
439,31
440,14
441,26
442,17
443,9
444,20
445,39
446,36
447,10
448,23
449,45
450,38
451,2
452,4
453,6
454,1
455,28
456,37
457,35
458,34
459,7
460,1
461,43
462,42
463,21
464,15
465,22
466,30
467,9
468,13
469,21
470,23
471,8
472,33
473,4
474,46
475,45
476,43
477,3
478,30
479,38
480,46
481,16
482,26
483,39
484,15
485,48
486,46
487,40
488,7
489,42
490,17
491,8
492,2
493,28
494,32
495,43
496,39
497,19
498,35
499,37
500,40
501,6
502,41
503,10
504,37
505,9
506,35
507,37
508,29
509,3
510,31
511,45
512,1
513,8
514,19
